k,alpha,min_multiplier,s1_weight,disparity_threshold,similarity_threshold,cluster_size_threshold,accuracy,mae,rmse,flag_rate,n_correct,n_flagged,n_total
3,0.1,0.3,0.4,4.0,0.7,20,72.0,1.086,1.394,44.0,18,11,25
3,0.1,0.3,0.5,2.0,0.4,10,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,2.0,0.4,15,68.0,1.121,1.456,28.0,17,7,25
3,0.1,0.3,0.5,2.0,0.4,20,68.0,1.121,1.456,28.0,17,7,25
3,0.1,0.3,0.5,2.0,0.5,10,68.0,1.121,1.456,16.0,17,4,25
3,0.1,0.3,0.5,2.0,0.5,15,68.0,1.121,1.456,36.0,17,9,25
3,0.1,0.3,0.5,2.0,0.5,20,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,2.0,0.6,10,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,2.0,0.6,15,68.0,1.121,1.456,48.0,17,12,25
3,0.1,0.3,0.5,2.0,0.6,20,68.0,1.121,1.456,52.0,17,13,25
3,0.1,0.3,0.5,2.0,0.7,10,68.0,1.121,1.456,56.0,17,14,25
3,0.1,0.3,0.5,2.0,0.7,15,68.0,1.121,1.456,56.0,17,14,25
3,0.1,0.3,0.5,2.0,0.7,20,68.0,1.121,1.456,60.0,17,15,25
3,0.1,0.3,0.5,2.5,0.4,10,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,2.5,0.4,15,68.0,1.121,1.456,20.0,17,5,25
3,0.1,0.3,0.5,2.5,0.4,20,68.0,1.121,1.456,20.0,17,5,25
3,0.1,0.3,0.5,2.5,0.5,10,68.0,1.121,1.456,12.0,17,3,25
3,0.1,0.3,0.5,2.5,0.5,15,68.0,1.121,1.456,32.0,17,8,25
3,0.1,0.3,0.5,2.5,0.5,20,68.0,1.121,1.456,36.0,17,9,25
3,0.1,0.3,0.5,2.5,0.6,10,68.0,1.121,1.456,32.0,17,8,25
3,0.1,0.3,0.5,2.5,0.6,15,68.0,1.121,1.456,48.0,17,12,25
3,0.1,0.3,0.5,2.5,0.6,20,68.0,1.121,1.456,52.0,17,13,25
3,0.1,0.3,0.5,2.5,0.7,10,68.0,1.121,1.456,48.0,17,12,25
3,0.1,0.3,0.5,2.5,0.7,15,68.0,1.121,1.456,56.0,17,14,25
3,0.1,0.3,0.5,2.5,0.7,20,68.0,1.121,1.456,60.0,17,15,25
3,0.1,0.3,0.5,3.0,0.4,10,68.0,1.121,1.456,0.0,17,0,25
3,0.1,0.3,0.5,3.0,0.4,15,68.0,1.121,1.456,8.0,17,2,25
3,0.1,0.3,0.5,3.0,0.4,20,68.0,1.121,1.456,8.0,17,2,25
3,0.1,0.3,0.5,3.0,0.5,10,68.0,1.121,1.456,8.0,17,2,25
3,0.1,0.3,0.5,3.0,0.5,15,68.0,1.121,1.456,20.0,17,5,25
3,0.1,0.3,0.5,3.0,0.5,20,68.0,1.121,1.456,24.0,17,6,25
3,0.1,0.3,0.5,3.0,0.6,10,68.0,1.121,1.456,24.0,17,6,25
3,0.1,0.3,0.5,3.0,0.6,15,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,3.0,0.6,20,68.0,1.121,1.456,44.0,17,11,25
3,0.1,0.3,0.5,3.0,0.7,10,68.0,1.121,1.456,32.0,17,8,25
3,0.1,0.3,0.5,3.0,0.7,15,68.0,1.121,1.456,48.0,17,12,25
3,0.1,0.3,0.5,3.0,0.7,20,68.0,1.121,1.456,52.0,17,13,25
3,0.1,0.3,0.5,3.5,0.4,10,68.0,1.121,1.456,0.0,17,0,25
3,0.1,0.3,0.5,3.5,0.4,15,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,3.5,0.4,20,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,3.5,0.5,10,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,3.5,0.5,15,68.0,1.121,1.456,12.0,17,3,25
3,0.1,0.3,0.5,3.5,0.5,20,68.0,1.121,1.456,16.0,17,4,25
3,0.1,0.3,0.5,3.5,0.6,10,68.0,1.121,1.456,16.0,17,4,25
3,0.1,0.3,0.5,3.5,0.6,15,68.0,1.121,1.456,36.0,17,9,25
3,0.1,0.3,0.5,3.5,0.6,20,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,3.5,0.7,10,68.0,1.121,1.456,20.0,17,5,25
3,0.1,0.3,0.5,3.5,0.7,15,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,3.5,0.7,20,68.0,1.121,1.456,44.0,17,11,25
3,0.1,0.3,0.5,4.0,0.4,10,68.0,1.121,1.456,0.0,17,0,25
